"DEAL","TAG","POSITION_SC_DATE_ADJUSTED","FUND_NAME","STRATEGY","SUB_STRATEGY","ACTIVE_HEDGE","BOOK_NAME","CASH_BALANCE","GL_NAV_FOR_BOOK","GL_NAV","DAILY_PNL","MTD_PNL","YTD_PNL","ITD_PNL"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","MP_Marketed FO_Convert","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","REVG_Registered Block","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","BUD_Overnight FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","KNTK_Overnight FO 2","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","ALIT_Unregistered Block 3","2946.24","2946.24","34237429.12","0.00","2946.24","2946.24","2946.24"
"ECM","IPO","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","IPO","Missing Active Hedge","KYTX_IPO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","SANA_Overnight FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","IRTC_Marketed FO_Convert","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","VKTX_Marketed FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","IPO","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","IPO","Missing Active Hedge","MNR_IPO","-118594.36","16922.39","34237429.12","530.25","16922.39","16922.39","16922.39"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","VERX_Unregistered Block","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","IAS_Registered Block","-37872.01","-7890.21","34237429.12","-2483.94","-7890.21","-7890.21","-7890.21"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","PNW_Overnight FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","GFL_Registered Block","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","NMRA_Unregistered Block","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","TPG_Registered Block","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","OWL_Unregistered Block","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","WGO_Marketed FO_Convert","-41478.49","2031.62","34237429.12","-3.28","2031.62","2031.62","2031.62"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","CWAN_Registered Block 2","962.72","962.72","34237429.12","216.09","962.72","962.72","962.72"
"N/A","Cash","1/31/2024","Alternative Fund Gamma Holdings II LP","Operating ","Cash","Missing Active Hedge","Cash","-122251.07","0.00","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Unregistered Blocks","Missing Active Hedge","LBPH_Unregistered Block 2","-64374.64","-5391.16","34237429.12","-3816.35","-5391.16","-5391.16","-5391.16"
"ECM","IPO","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","IPO","Missing Active Hedge","AVBP_IPO","8742.64","8742.64","34237429.12","0.00","8742.64","8742.64","8742.64"
